,artist_id,artist_name_kor,birth,death,money,canvas_size_money,auction_date,auction_place,artwork_type,make_year,size_length,size_length_inch,size_width,size_width_inch,canvas_size,half_year,estimate_high,estimate_low
36,6987,김환기,1913,1974,18000000.0,9000000.0,2019-11-20,SEOUL,work on paper,1963,22.5,8.8582725,12.5,4.9212625,2.0,2,35000000.0,18000000.0
37,6987,김환기,1913,1974,185000000.0,9250000.0,2019-11-20,SEOUL,paintings,1969,75.0,29.527575000000002,63.0,24.803163,20.0,2,350000000.0,180000000.0
38,6987,김환기,1913,1974,900000000.0,22500000.0,2019-11-20,SEOUL,paintings,1961-1964,65.1,25.6299351,100.0,39.3701,40.0,2,1600000000.0,900000000.0
39,6987,김환기,1913,1974,20000000.0,5000000.0,2019-11-20,SEOUL,work on paper,1959,23.5,9.2519735,32.5,12.7952825,4.0,2,40000000.0,20000000.0
40,6987,김환기,1913,1974,38000000.0,19000000.0,2020-01-22,SEOUL,work on paper,1963,24.0,9.448824,16.0,6.299216,2.0,1,80000000.0,40000000.0
41,6987,김환기,1913,1974,125000000.0,12500000.0,2020-01-22,SEOUL,work on paper,1968,55.0,21.653555,37.0,14.566937000000001,10.0,1,100000000.0,78000000.0
42,6987,김환기,1913,1974,160000000.0,8000000.0,2020-01-22,SEOUL,paintings,1969,75.0,29.527575000000002,60.0,23.62206,20.0,1,350000000.0,160000000.0
43,6987,김환기,1913,1974,43500000.0,14500000.0,2020-01-22,SEOUL,work on paper,1964,20.5,8.0708705,29.5,11.6141795,3.0,1,60000000.0,42000000.0
44,6987,김환기,1913,1974,42000000.0,14000000.0,2020-03-25,SEOUL,work on paper,1964,22.0,8.661422,29.0,11.417329,3.0,1,70000000.0,28000000.0
45,6987,김환기,1913,1974,42000000.0,14000000.0,2020-03-25,SEOUL,work on paper,1964,22.0,8.661422,30.0,11.81103,3.0,1,70000000.0,42000000.0
46,6987,김환기,1913,1974,70000000.0,7000000.0,2020-03-25,SEOUL,work on paper,1968,55.0,21.653555,38.0,14.960638000000001,10.0,1,100000000.0,75000000.0
47,6987,김환기,1913,1974,40000000.0,4000000.0,2020-05-27,SEOUL,work on paper,1968,57.0,22.440957,31.0,12.204731,10.0,1,80000000.0,40000000.0
48,6987,김환기,1913,1974,260000000.0,26000000.0,2020-05-27,SEOUL,paintings,,51.0,20.078751,41.0,16.141741,10.0,1,400000000.0,260000000.0
49,6987,김환기,1913,1974,420000000.0,35000000.0,2020-07-15,SEOUL,work on paper,1958,60.0,23.62206,49.0,19.291349,12.0,2,420000000.0,350000000.0
50,6987,김환기,1913,1974,80000000.0,8000000.0,2020-09-24,SEOUL,work on paper,1968,53.0,20.866153,36.0,14.173236000000001,10.0,2,100000000.0,80000000.0
51,6987,김환기,1913,1974,310000000.0,25833333.333333332,2020-09-24,SEOUL,work on paper,1973,62.0,24.409462,50.5,19.8819005,12.0,2,450000000.0,310000000.0
52,6987,김환기,1913,1974,125000000.0,12500000.0,2020-11-25,SEOUL,work on paper,1970,57.0,22.440957,40.0,15.748040000000001,10.0,2,250000000.0,125000000.0
53,6987,김환기,1913,1974,30000000.0,7500000.0,2020-11-25,SEOUL,work on paper,,24.0,9.448824,31.0,12.204731,4.0,2,50000000.0,28000000.0
54,6987,김환기,1913,1974,210000000.0,21000000.0,2020-11-25,SEOUL,work on paper,1958,56.0,22.047256,37.0,14.566937000000001,10.0,2,200000000.0,120000000.0
55,6987,김환기,1913,1974,1070000000.0,53500000.0,2020-11-25,SEOUL,paintings,1958,72.7,28.622062700000004,53.0,20.866153,20.0,2,1700000000.0,900000000.0
56,6987,김환기,1913,1974,42000000.0,14000000.0,2021-01-20,SEOUL,work on paper,1963,21.5,8.4645715,30.0,11.81103,3.0,1,50000000.0,35000000.0
57,6987,김환기,1913,1974,245000000.0,24500000.0,2021-01-20,SEOUL,work on paper,1969,58.0,22.834658,47.0,18.503947,10.0,1,300000000.0,150000000.0
58,6987,김환기,1913,1974,180000000.0,30000000.0,2021-03-17,SEOUL,paintings,1961,21.0,8.267721,40.0,15.748040000000001,6.0,1,200000000.0,100000000.0
